DEMO Traffic Flow Sunday 01 March 2020
Time	TcsNo	Approach	Volume
01/03/2020 21:20	8207	Approach  1 (det:  1-8)	73
01/03/2020 21:25	8207	Approach  1 (det:  1-8)	91
01/03/2020 21:30	8207	Approach  1 (det:  1-8)	54
01/03/2020 21:35	8207	Approach  1 (det:  1-8)	58
01/03/2020 21:40	8207	Approach  1 (det:  1-8)	83
01/03/2020 21:45	8207	Approach  1 (det:  1-8)	54
01/03/2020 21:50	8207	Approach  1 (det:  1-8)	70
01/03/2020 21:55	8207	Approach  1 (det:  1-8)	73
01/03/2020 22:00	8207	Approach  1 (det:  1-8)	59
01/03/2020 22:05	8207	Approach  1 (det:  1-8)	48
01/03/2020 22:10	8207	Approach  1 (det:  1-8)	49
01/03/2020 22:15	8207	Approach  1 (det:  1-8)	56
01/03/2020 22:20	8207	Approach  1 (det:  1-8)	49
01/03/2020 22:25	8207	Approach  1 (det:  1-8)	58
01/03/2020 22:30	8207	Approach  1 (det:  1-8)	45
01/03/2020 22:35	8207	Approach  1 (det:  1-8)	50
01/03/2020 22:40	8207	Approach  1 (det:  1-8)	52
01/03/2020 22:45	8207	Approach  1 (det:  1-8)	38
01/03/2020 22:50	8207	Approach  1 (det:  1-8)	39
01/03/2020 22:55	8207	Approach  1 (det:  1-8)	46
01/03/2020 23:00	8207	Approach  1 (det:  1-8)	42
01/03/2020 23:05	8207	Approach  1 (det:  1-8)	35
01/03/2020 23:10	8207	Approach  1 (det:  1-8)	34
01/03/2020 23:15	8207	Approach  1 (det:  1-8)	36
01/03/2020 23:20	8207	Approach  1 (det:  1-8)	33
01/03/2020 23:25	8207	Approach  1 (det:  1-8)	37
01/03/2020 23:30	8207	Approach  1 (det:  1-8)	27
01/03/2020 23:35	8207	Approach  1 (det:  1-8)	26
01/03/2020 23:40	8207	Approach  1 (det:  1-8)	27
01/03/2020 23:45	8207	Approach  1 (det:  1-8)	20
01/03/2020 23:50	8207	Approach  1 (det:  1-8)	23
01/03/2020 23:55	8207	Approach  1 (det:  1-8)	21
02/03/2020 00:00	8207	Approach  1 (det:  1-8)	36
02/03/2020 00:05	8207	Approach  1 (det:  1-8)	23
02/03/2020 00:10	8207	Approach  1 (det:  1-8)	34
02/03/2020 00:15	8207	Approach  1 (det:  1-8)	12
02/03/2020 00:20	8207	Approach  1 (det:  1-8)	18
02/03/2020 00:25	8207	Approach  1 (det:  1-8)	18
02/03/2020 00:30	8207	Approach  1 (det:  1-8)	15
02/03/2020 00:35	8207	Approach  1 (det:  1-8)	20
02/03/2020 00:40	8207	Approach  1 (det:  1-8)	21
02/03/2020 00:45	8207	Approach  1 (det:  1-8)	15
02/03/2020 00:50	8207	Approach  1 (det:  1-8)	26
02/03/2020 00:55	8207	Approach  1 (det:  1-8)	12
02/03/2020 01:00	8207	Approach  1 (det:  1-8)	22
02/03/2020 01:05	8207	Approach  1 (det:  1-8)	15
02/03/2020 01:10	8207	Approach  1 (det:  1-8)	16
02/03/2020 01:15	8207	Approach  1 (det:  1-8)	11
02/03/2020 01:20	8207	Approach  1 (det:  1-8)	7
02/03/2020 01:25	8207	Approach  1 (det:  1-8)	8
02/03/2020 01:30	8207	Approach  1 (det:  1-8)	11
02/03/2020 01:35	8207	Approach  1 (det:  1-8)	12
02/03/2020 01:40	8207	Approach  1 (det:  1-8)	4
02/03/2020 01:45	8207	Approach  1 (det:  1-8)	12
02/03/2020 01:50	8207	Approach  1 (det:  1-8)	12
02/03/2020 01:55	8207	Approach  1 (det:  1-8)	11
02/03/2020 02:00	8207	Approach  1 (det:  1-8)	13
02/03/2020 02:05	8207	Approach  1 (det:  1-8)	6
02/03/2020 02:10	8207	Approach  1 (det:  1-8)	4
02/03/2020 02:15	8207	Approach  1 (det:  1-8)	8
02/03/2020 02:20	8207	Approach  1 (det:  1-8)	10
02/03/2020 02:25	8207	Approach  1 (det:  1-8)	9
02/03/2020 02:30	8207	Approach  1 (det:  1-8)	12
02/03/2020 02:35	8207	Approach  1 (det:  1-8)	8
02/03/2020 02:40	8207	Approach  1 (det:  1-8)	5
02/03/2020 02:45	8207	Approach  1 (det:  1-8)	6
02/03/2020 02:50	8207	Approach  1 (det:  1-8)	1
02/03/2020 02:55	8207	Approach  1 (det:  1-8)	12
02/03/2020 03:00	8207	Approach  1 (det:  1-8)	2
02/03/2020 03:05	8207	Approach  1 (det:  1-8)	6
02/03/2020 03:10	8207	Approach  1 (det:  1-8)	4
02/03/2020 03:15	8207	Approach  1 (det:  1-8)	5
02/03/2020 03:20	8207	Approach  1 (det:  1-8)	6
02/03/2020 03:25	8207	Approach  1 (det:  1-8)	5
02/03/2020 03:30	8207	Approach  1 (det:  1-8)	7
02/03/2020 03:35	8207	Approach  1 (det:  1-8)	3
02/03/2020 03:40	8207	Approach  1 (det:  1-8)	10
02/03/2020 03:45	8207	Approach  1 (det:  1-8)	5
02/03/2020 03:50	8207	Approach  1 (det:  1-8)	7
02/03/2020 03:55	8207	Approach  1 (det:  1-8)	9
02/03/2020 04:00	8207	Approach  1 (det:  1-8)	3
02/03/2020 04:05	8207	Approach  1 (det:  1-8)	5
02/03/2020 04:10	8207	Approach  1 (det:  1-8)	6
02/03/2020 04:15	8207	Approach  1 (det:  1-8)	10
02/03/2020 04:20	8207	Approach  1 (det:  1-8)	10
02/03/2020 04:25	8207	Approach  1 (det:  1-8)	9
02/03/2020 04:30	8207	Approach  1 (det:  1-8)	15
02/03/2020 04:35	8207	Approach  1 (det:  1-8)	14
02/03/2020 04:40	8207	Approach  1 (det:  1-8)	15
02/03/2020 04:45	8207	Approach  1 (det:  1-8)	15
02/03/2020 04:50	8207	Approach  1 (det:  1-8)	20
02/03/2020 04:55	8207	Approach  1 (det:  1-8)	15
02/03/2020 05:00	8207	Approach  1 (det:  1-8)	15
02/03/2020 05:05	8207	Approach  1 (det:  1-8)	24
02/03/2020 05:10	8207	Approach  1 (det:  1-8)	14
02/03/2020 05:15	8207	Approach  1 (det:  1-8)	21
02/03/2020 05:20	8207	Approach  1 (det:  1-8)	20
02/03/2020 05:25	8207	Approach  1 (det:  1-8)	23
02/03/2020 05:30	8207	Approach  1 (det:  1-8)	30
02/03/2020 05:35	8207	Approach  1 (det:  1-8)	25
02/03/2020 05:40	8207	Approach  1 (det:  1-8)	27
02/03/2020 05:45	8207	Approach  1 (det:  1-8)	31
02/03/2020 05:50	8207	Approach  1 (det:  1-8)	28
02/03/2020 05:55	8207	Approach  1 (det:  1-8)	40
02/03/2020 06:00	8207	Approach  1 (det:  1-8)	72
02/03/2020 06:05	8207	Approach  1 (det:  1-8)	63
02/03/2020 06:10	8207	Approach  1 (det:  1-8)	70
02/03/2020 06:15	8207	Approach  1 (det:  1-8)	91
02/03/2020 06:20	8207	Approach  1 (det:  1-8)	125
02/03/2020 06:25	8207	Approach  1 (det:  1-8)	116
02/03/2020 06:30	8207	Approach  1 (det:  1-8)	146
02/03/2020 06:35	8207	Approach  1 (det:  1-8)	127
02/03/2020 06:40	8207	Approach  1 (det:  1-8)	166
02/03/2020 06:45	8207	Approach  1 (det:  1-8)	165
02/03/2020 06:50	8207	Approach  1 (det:  1-8)	187
02/03/2020 06:55	8207	Approach  1 (det:  1-8)	148
02/03/2020 07:00	8207	Approach  1 (det:  1-8)	183
